CHANNEL,METRIC_NAME,MEAN_LIFT,STD_LIFT,COUNT,CV,IS_CONSISTENT
OTT,More than Restaurant Aided Awareness: Packaged Food & Non-Alcoholic Beverages,-0.00192946346,0.010514764383295416,4,5.449579430384971,False
OTT,More than Restaurant Aided Awareness: Personal Care & Beauty,-0.02831579461,0.0385623265939059,4,1.3618663055384372,False
OTT,More than Restaurant Aided Awareness: Pet Supplies,-0.0426049244775,0.0495396138292338,4,1.1627673194303176,False
OTT,More than Restaurant Aided Awareness: Prepared Restaurant Food,-0.03111163508,0.04395700953475752,4,1.412880082378413,False
OTT,More than Restaurant Consideration,-0.005982223244,0.0076392338728438385,4,1.2769890994131277,False
OTT,More than Restaurant Consideration: Alcoholic Beverages,0.029006287865,0.08090012648755998,4,2.7890548030165867,False
OTT,More than Restaurant Consideration: Baby Supplies,-0.040565185512500004,0.04684618923889119,4,1.1548372982161197,False
OTT,More than Restaurant Consideration: Flowers,0.054966421187499996,0.1273638589354438,4,2.3171211838766723,False
OTT,More than Restaurant Consideration: Fresh Food & Produce,0.0067714867335000005,0.00869526480910299,4,1.284099807223375,False
OTT,More than Restaurant Consideration: Health & Medicine,0.0290310194325,0.09128578634625524,4,3.14442234997995,False
OTT,More than Restaurant Consideration: Household Essentials,-0.00714917034175,0.015667318083931795,4,2.1914875901665383,False
OTT,More than Restaurant Consideration: Packaged Food & Non-Alcoholic Beverages,0.0007007027099999999,0.017516732738998106,4,24.998808323430218,False
OTT,More than Restaurant Consideration: Personal Care & Beauty,-0.050221968335,0.07882158714827527,4,1.569464315347115,False
OTT,More than Restaurant Consideration: Pet Supplies,-0.03133010721,0.036509443482995924,4,1.1653149872191555,False
OTT,More than Restaurant Consideration: Prepared Restaurant Food,0.00140323357525,0.006255612339955919,4,4.4579979059020305,False
OTT,Unaided Brand Awareness (Any Mention),-0.006668286124999999,0.022035752259766745,4,3.304560099356377,False
OTT,Unaided Brand Awareness (Any Mention) - Amazon,0.0249792124,0.029963744463393352,4,1.1995472068364075,False
OTT,Unaided Brand Awareness (Any Mention) - GrubHub,0.043059793913,0.08309145736505501,4,1.9296761506322309,False
OTT,Unaided Brand Awareness (Any Mention) - Instacart,-0.047666343185,0.10808332330201842,4,2.2674976950199714,False
OTT,Unaided Brand Awareness (Any Mention) - Uber Eats,-0.02663563168,0.03773125165576291,4,1.416570558906411,False
OTT,Unaided Brand Awareness (First Mention),-0.006762722686750001,0.020141631048398577,4,2.9783316544771927,False
Other,Affinity ,0.010948943898193618,0.10206569248060612,282,9.321966888280901,False
Other,Aided Awareness,-0.004325182357279077,0.06721173690280426,282,15.53963078335647,False
Other,BA MDS: Is different,0.0009839663163212766,0.09507960446544919,282,96.62892203558376,False
Other,BA MDS: Meets needs,-0.005225982358014184,0.08808886422313024,282,16.855943665413186,False
Other,BA MDS: Sets trends,0.004437289374684398,0.09197865506422494,282,20.728568118406052,False
Other,BA: Has my favorite brands or stores,-0.0021223297066836886,0.09968847415764394,282,46.97124760761853,False
Other,BA: Is a brand I trust,-0.0034819547326056734,0.08158938996317998,282,23.43206509813632,False
Other,BA: Is an essential part of my life,0.008726626182920921,0.09622637078600087,282,11.026755216618273,False
Other,BA: Makes my life easier,0.0013301101733007093,0.08238075051777659,282,61.93528338584632,False
