TIMESTAMP,TIMESTAMP_DATE,METRIC_CLEAN,LIFT_mean,LIFT_std,LIFT_count,LIFT_min,LIFT_max,DELTA_mean,DELTA_std,CONTROL__mean,EXPOSED__mean,CONTROL_N_sum,EXPOSED_N_sum,STATISTICAL_SIGNIFICANCE_mean,STATISTICAL_SIGNIFICANCE_min
2025-02-01,2025-02-01,DashPass Benefits: Save more than other delivery subscription services,0.11753125,0.43647052210506326,256,-1.0,3.368,0.05816796875,0.1624681902783694,0.51636328125,0.5744296875,34583,94174,0.8088612667624203,9.35967e-05
2025-02-01,2025-02-01,Aided Awareness,0.009382812499999999,0.13199522398333877,256,-1.0,1.059,0.014046875,0.11799746486974318,0.87832421875,0.89238671875,34583,94174,0.7240068070776698,0.020167255
2025-02-01,2025-02-01,BA MDS: Is different,-0.004128906250000001,0.2839105130079654,256,-1.0,2.173,0.00085546875,0.1445175021945914,0.6346015625,0.6354296875,34583,94174,0.6481251690955414,0.000664048
2025-02-01,2025-02-01,BA MDS: Meets needs,0.04534765625,0.3375997982214905,256,-1.0,3.0,0.0273046875,0.155956658564135,0.61840625,0.64571484375,34583,94174,0.6849870607974683,0.017951586
2025-02-01,2025-02-01,BA MDS: Sets trends,0.0816171875,0.2440160592945216,256,-1.0,1.205,0.057625,0.1420004142496029,0.622625,0.68029296875,34583,94174,0.7485380790875,0.007106598
2025-02-01,2025-02-01,BA: Has my favorite brands or stores,0.02401171875,0.25820617210499197,256,-1.0,3.0,0.022226562499999998,0.13404220668886202,0.67327734375,0.69548828125,34583,94174,0.6147882971974522,0.006570521
2025-02-01,2025-02-01,BA: Is a brand I trust,0.0220234375,0.2684899666535557,256,-1.0,3.0,0.01181640625,0.13589676547671875,0.6866328125,0.69846875,34583,94174,0.6153641066089743,0.018592017
2025-02-01,2025-02-01,BA: Is an essential part of my life,0.0425390625,0.25931573312957584,256,-1.0,1.261,0.0309609375,0.14256922101864325,0.5654375,0.59640234375,34583,94174,0.683456762875,0.003629189
2025-02-01,2025-02-01,BA: Makes my life easier,0.03644921875,0.2672146771524007,256,-1.0,2.517,0.02546875,0.14526232862530833,0.6843046875,0.70979296875,34583,94174,0.6398319034871794,0.002619251
2025-02-01,2025-02-01,Brand Familiarity,0.017343749999999998,0.27221624730004196,256,-1.0,3.0,0.00396484375,0.13108974150488906,0.76101171875,0.7649375,34583,94174,0.5800290920921052,0.027319258
2025-02-01,2025-02-01,Brand Favorability,0.0667265625,0.28251014112892703,256,-1.0,3.0,0.0419140625,0.1253364117692703,0.70351171875,0.74546484375,34583,94174,0.6849660506369427,0.028243574
2025-02-01,2025-02-01,Consideration (Top 2 Box),0.03128125,0.3424679160584416,256,-1.0,2.517,0.0109375,0.14644017717210017,0.67298046875,0.6839296875,34583,94174,0.5884927869044586,0.040908645
2025-02-01,2025-02-01,DashPass Actions – Saw a Deal,0.0,0.0,256,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
2025-02-01,2025-02-01,DashPass Actions – Talked to others,0.0,0.0,256,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
2025-02-01,2025-02-01,BA: Offers a wide selection of brands or stores across a variety of categories,0.0548125,0.20912963425007142,256,-1.0,1.059,0.039953125,0.133510070671048,0.68806640625,0.728,34583,94174,0.6301082498050314,0.01448365
2025-02-01,2025-02-01,DashPass Benefits: Consistently adds valuable perks and benefits for members,0.026972656249999998,0.3454648746856098,256,-1.0,2.517,0.00927734375,0.13212963492668042,0.568390625,0.5776640625,34583,94174,0.6980659455677419,0.014301063
2025-02-01,2025-02-01,DashPass Benefits: Makes members' lives better,0.1476328125,0.3998552654049446,256,-1.0,3.368,0.06841015625,0.1430453367538918,0.547171875,0.6155859375,34583,94174,0.6908176489363057,0.002694832
2025-02-01,2025-02-01,DashPass Aided Awareness,-0.00768359375,0.16503097001203362,256,-1.0,1.059,-0.0049765625,0.10490596834130766,0.79067578125,0.78570703125,34583,94174,0.5315670656906475,0.00573119
2025-02-01,2025-02-01,DashPass Benefits Awareness: Reduced service fees on eligible orders,0.14380078125,0.6103543195967142,256,-1.0,7.79,0.0528046875,0.1444219612105513,0.5232578125,0.57604296875,34583,94174,0.7129039574076433,0.022910626
2025-02-01,2025-02-01,DashPass Benefits Awareness: Max [HBO] subscription included at no extra cost,0.0922578125,0.3916784745039047,256,-1.0,3.0,0.03960546875,0.14992679458549552,0.38924609375,0.42883984375,34583,94174,0.6904386115031848,0.038285546
2025-02-01,2025-02-01,DashPass Benefits Awareness: Discounted rides with Lyft,0.1674375,0.5406808815616423,256,-1.0,3.876,0.0452890625,0.1432488662566777,0.42453515625,0.46983203125,34583,94174,0.6783952088089171,0.020962804
2025-02-01,2025-02-01,DashPass Benefits Awareness: Ability to add someone in your household to your DashPass membership for free,0.19201171875,0.6313009628889262,256,-1.0,5.745,0.06052734375,0.13175121845020155,0.43921875,0.4997578125,34583,94174,0.6815254309617834,0.003847733
2025-02-01,2025-02-01,DashPass Benefits Awareness: Access to exclusive deals for DashPass members,0.1088046875,0.4313803391411679,256,-1.0,3.0,0.042886718750000004,0.15253329710223096,0.54610546875,0.589015625,34583,94174,0.7586721488152866,0.009883221
2025-02-01,2025-02-01,DashPass Benefits Awareness: $0 delivery fees + 1 Other Benefit,0.03578125,0.2909612449767689,256,-1.0,3.0,0.0198203125,0.15292807144786963,0.58175390625,0.6015859375,34583,94174,0.5944864882516556,0.004492378
