CHANNEL,METRIC_NAME,LIFT_mean,LIFT_std,LIFT_count,DELTA_mean,DELTA_std,EXPOSED_PERCENT_mean,CONTROL_PERCENT_mean,SIGNIFICANCE_LEVEL_mean
Other,BA: Is a brand I trust,-0.0034819547326056734,0.08158938996317998,282,0.29095715752466594,0.3591290343677307,0.606742604280851,0.3157854467588653,0.20437793897056739
Other,BA: Is an essential part of my life,0.008726626182920921,0.09622637078600087,282,0.25016943416046544,0.30129568477726326,0.5165499194893617,0.26638048532659575,0.1984645339627979
Other,BA: Makes my life easier,0.0013301101733007093,0.08238075051777659,282,0.29607855197121097,0.3607289126224282,0.6169172620929079,0.3208387101219858,0.1828630899177305
Other,BA: Offers a wide selection of brands or stores across a variety of categories,-0.004209457540488439,0.09180638331027925,282,0.2981200048127874,0.3697541033829373,0.6271494535297872,0.3290294487191489,0.21363074745283686
Other,Brand Familiarity,-0.005900365549868688,0.08137000199359234,282,0.31612769472681235,0.391327718110704,0.6658923870751773,0.3497646923492908,0.1689714342300993
Other,Brand Favorability,0.005035700807037305,0.08555681687822567,282,0.315497691863741,0.37475083862618047,0.6450245862035461,0.3295268943393617,0.2276221492543759
Other,Consideration (Top 2 Box),-0.0008899750416588651,0.07432184048776129,282,0.28731421813382985,0.3476282586910512,0.5971596528684397,0.309845434735461,0.1933314269451312
Other,DashPass Actions – Saw a Deal,-0.019059533184503544,0.11604451143676699,282,0.1330426364062617,0.19375091592501914,0.27515393131843974,0.14211129491159574,0.19415400232792554
Other,DashPass Actions – Talked to others,-0.017385127248304964,0.11656050896466386,282,0.13194335235054397,0.19490537732904128,0.2720176987584752,0.1400743464076596,0.24422010523138654
Other,DashPass Aided Awareness,-0.004554085046419184,0.08261761737927426,282,0.3304402995327798,0.4090649153531742,0.690791986679078,0.36035168714751775,0.16428266778231915
Other,DashPass Aided Awareness (DD aware non-users),0.014629780918700357,0.17495863895649344,282,0.05621450477487975,0.07207950451149746,0.10548100741826241,0.0492665026458156,0.1791562306768759
Other,DashPass Aided Awareness (DD users),-0.007216987072218333,0.08769127222564244,282,0.2742257947556256,0.3453152042647231,0.5853109792588652,0.3110851845014184,0.18950547632240425
Other,DashPass Benefit Awareness: $0 Delivery + 1 Other Benefit (DP aware non-users),0.0312132216615305,0.35833859979772975,282,0.04277493480779536,0.06043307692543045,0.08538097191868795,0.04260603710992908,0.14640323555866666
Other,DashPass Benefit Awareness: $0 Delivery + 1 Other Benefit (DP users),0.009330842040779361,0.14372119914897044,282,0.1372317570812125,0.17167189011199527,0.289857137931383,0.1526253808525532,0.1725818375146539
Other,DashPass Benefits Awareness: $0 delivery fees + 1 Other Benefit,0.00494079167597695,0.10723504154919651,282,0.25136787307228614,0.3051953591076842,0.5212071216560283,0.2698392485819149,0.19741737682795743
Other,DashPass Benefits Awareness: $0 delivery fees on eligible orders,0.006893167705597872,0.11100402783550198,282,0.2577401173651532,0.3119222692017451,0.5338998731205674,0.2761597557528369,0.2082113525847163
Other,DashPass Benefits Awareness: Ability to add someone in your household to your DashPass membership for free,0.01103987438473156,0.17133498438766012,282,0.20784732725358865,0.2577385386695869,0.4337480797106383,0.22590075245744679,0.19854178430503547
Other,DashPass Benefits Awareness: Access to exclusive deals for DashPass members,-0.004624372479786171,0.10282388967094375,282,0.24241898724601488,0.3050112840992568,0.5138981523212766,0.27147916507411346,0.1866217929032305
Other,DashPass Benefits Awareness: Discounted rides with Lyft,0.010425467330460285,0.17558883156579064,282,0.19930127370118086,0.2513461015045364,0.41587874127304963,0.2165774675751773,0.18718164761120568
Other,DashPass Benefits Awareness: Max [HBO] subscription included at no extra cost,0.012341383180228723,0.14801003349385425,282,0.19317569554295994,0.23539455751046912,0.3950589349769503,0.20188323943156028,0.24154165548296735
Other,DashPass Benefits Awareness: Reduced service fees on eligible orders,-0.004179821178088687,0.12007161618087306,282,0.2368187983544055,0.29954399866725967,0.5048774764170213,0.2680586780613475,0.18769172956493263
Other,DashPass Benefits: Consistently adds valuable perks and benefits for members,0.008444296991425886,0.15979381360010356,282,0.24220871907384645,0.2988876053069251,0.5058311027723404,0.26362238369659574,0.17864272476072696
Other,DashPass Benefits: Makes members' lives better,-0.0030195939206705317,0.10389909266564491,282,0.24804999175187253,0.31179913586044833,0.5218506742326241,0.27380068247815603,0.19116422805458158
Other,"DashPass Benefits: Provides more value than other non-delivery subscription services (e.g. TV streaming, audio streaming, fitness, fashion, etc)",0.011401684797897093,0.11563558291658885,282,0.23041304409443236,0.2779632088088171,0.473189497377305,0.24277645328652483,0.1979046641775851
Other,DashPass Benefits: Save more than other delivery subscription services,0.005291756067496454,0.10599392483667416,282,0.23574249647880047,0.28683730313965955,0.4887449844280142,0.25300248795106384,0.1850694296386844
Other,DashPass Benefits: Saves subscription members more money than non-members who use the delivery service,-0.0017079741002042912,0.11255844922689598,282,0.24727344137769514,0.3082884349227151,0.5190660222847518,0.2717925809067376,0.17365488645906027
Other,DashPass Worth,0.02472803248550071,0.2336614459632692,282,0.13408458367504292,0.16639866503492065,0.270268440995,0.13618385731897162,0.17309713727497872
Other,First Choice Consideration,0.007394120338392554,0.15300052852725188,282,0.09383626145037872,0.11735578351523718,0.19018962420269503,0.09635336275347518,0.1658333056568085
Other,More than Restaurant Aided Awareness,-0.0081652146140752,0.09617658161186664,282,0.2926245476420674,0.3729598785508592,0.6219581393177305,0.3293335916758865,0.22702858689022695
Other,More than Restaurant Aided Awareness: Alcoholic Beverages,-0.007533040538684041,0.12605037171180256,282,0.15970288990296133,0.20916782113326096,0.33923407967567376,0.17953118977340426,0.21501916296658155
Other,More than Restaurant Aided Awareness: Baby Supplies,-0.015083628624113828,0.12284493170618731,282,0.13615494970449432,0.18084743208507173,0.2937217104593617,0.15756676075638298,0.23444927821856315
Other,More than Restaurant Aided Awareness: Flowers,-0.022628930389560285,0.11674300339327978,282,0.12767256429896134,0.18119231689653215,0.28478570564670214,0.1571131413457447,0.26457043246507095
Other,More than Restaurant Aided Awareness: Fresh Food & Produce,-0.009320943540592198,0.14841152490825266,282,0.16250438795733796,0.21537385582200677,0.35196725357056735,0.18946286561134754,0.2650113025411241
Other,More than Restaurant Aided Awareness: Health & Medicine,-0.012927732917038297,0.22491040533737586,282,0.14132638074018297,0.19403573874510788,0.3073046290760284,0.16597824833723404,0.26460975022987593
Other,More than Restaurant Aided Awareness: Household Essentials,-0.006763314824885815,0.1543324852085272,282,0.15290995904022056,0.20344785557423864,0.3254797359414893,0.17256977690035463,0.20153999693657446
Other,More than Restaurant Aided Awareness: Packaged Food & Non-Alcoholic Beverages,-0.006463598308345035,0.14011123142204857,282,0.18267798666163756,0.23900486748013416,0.38948881381205674,0.20681082715,0.2044647564633156
Other,More than Restaurant Aided Awareness: Personal Care & Beauty,-0.010366231460234115,0.18772715813822283,282,0.14261460800023298,0.19240715592159743,0.3064445007856028,0.16382989278429078,0.24350586134564148
Other,More than Restaurant Aided Awareness: Pet Supplies,-0.01794699869432766,0.12801160381475601,282,0.13799959926206315,0.19247896899581665,0.30330149948439716,0.16530190022021277,0.24894889485865956
Other,More than Restaurant Aided Awareness: Prepared Restaurant Food,-0.01880302879989007,0.0962405247076471,282,0.22058781224054078,0.29614826961007346,0.478878836783688,0.25829102454432623,0.2822076731591844
Other,More than Restaurant Consideration,-0.007122618423052483,0.0830873536474931,282,0.26749159283734786,0.3359733701744953,0.565487593066312,0.2979960002280142,0.19716767413306735
Other,More than Restaurant Consideration: Alcoholic Beverages,0.006858188016269859,0.16716663043147176,282,0.14681745610248723,0.18458974579013362,0.3025208647055674,0.15570340860319148,0.21626722989083333
Other,More than Restaurant Consideration: Baby Supplies,-0.0036691925636400716,0.1997326052669454,282,0.11448338230280142,0.15517491433806124,0.24690796329138298,0.13242458098595744,0.27304612464528366
Other,More than Restaurant Consideration: Flowers,0.00877020613473968,0.2046285097863506,282,0.1240131372926378,0.1575180504559804,0.25977543627765953,0.13576229898567377,0.2004317755491557
