CHANNEL,METRIC_NAME,TIME_PERIOD,LIFT_mean,LIFT_std,LIFT_count,DELTA_mean,EXPOSED_PERCENT_mean,CONTROL_PERCENT_mean,SIGNIFICANCE_LEVEL_mean,EXPOSED_POPULATION_sum,CONTROL_POPULATION_sum,CV,IS_CONSISTENT
OTT,More than Restaurant Consideration: Health & Medicine,Unknown,0.0290310194325,0.09128578634625524,4,0.16987285985,0.3304927834,0.16061992355,0.414578886,6346,3602,3.14442234997995,False
OTT,More than Restaurant Consideration: Household Essentials,Unknown,-0.00714917034175,0.015667318083931795,4,0.16197648458667502,0.3371878319,0.1752113473,0.17672011662,6346,3602,2.1914875901665383,False
OTT,More than Restaurant Consideration: Packaged Food & Non-Alcoholic Beverages,Unknown,0.0007007027099999999,0.017516732738998106,4,0.192968406352,0.397581316825,0.2046129105,0.184829220225,6346,3602,24.998808323430218,False
OTT,More than Restaurant Consideration: Personal Care & Beauty,Unknown,-0.050221968335,0.07882158714827527,4,0.1348666957125,0.3156281572,0.1807614615,0.412619211875,6346,3602,1.569464315347115,False
OTT,More than Restaurant Consideration: Pet Supplies,Unknown,-0.03133010721,0.036509443482995924,4,0.1456859504675,0.321302061325,0.175616110875,0.35381998615,6346,3602,1.1653149872191555,False
OTT,More than Restaurant Consideration: Prepared Restaurant Food,Unknown,0.00140323357525,0.006255612339955919,4,0.25132808135375,0.5136883142,0.26236023285,0.1049230848325,6346,3602,4.4579979059020305,False
OTT,Unaided Brand Awareness (Any Mention),Unknown,-0.006668286124999999,0.022035752259766745,4,0.19594057469474999,0.4142272619,0.2182866872,0.2472238886725,6346,3602,3.304560099356377,False
OTT,Unaided Brand Awareness (Any Mention) - Amazon,Unknown,0.0249792124,0.029963744463393352,4,0.1184060397305,0.229404588475,0.11099854875000001,0.23941115275000002,6346,3602,1.1995472068364075,False
OTT,Unaided Brand Awareness (Any Mention) - GrubHub,Unknown,0.043059793913,0.08309145736505501,4,0.052417731241525004,0.10422053140000001,0.051802800164999996,0.1305808423375,6346,3602,1.9296761506322309,False
OTT,Unaided Brand Awareness (Any Mention) - Instacart,Unknown,-0.047666343185,0.10808332330201842,4,0.09130407272624999,0.22063912127500002,0.12933504855,0.317938880925,6346,3602,2.2674976950199714,False
OTT,Unaided Brand Awareness (Any Mention) - Uber Eats,Unknown,-0.02663563168,0.03773125165576291,4,0.14641332673,0.33497658055,0.1885632538,0.303037568875,6346,3602,1.416570558906411,False
OTT,Unaided Brand Awareness (First Mention),Unknown,-0.006762722686750001,0.020141631048398577,4,0.12337412352099998,0.252725454025,0.1293513305,0.1787540926725,6346,3602,2.9783316544771927,False
Other,Affinity ,Unknown,0.010882760033809964,0.10224172799883038,281,0.24063819753786775,0.4892502569341637,0.24861205939964415,0.18558515961374378,379089,177059,9.394834369331987,False
Other,Aided Awareness,Unknown,-0.004439619576415302,0.06730412309011342,281,0.37390529866053485,0.774412482563701,0.40050718390462636,0.1486849675899644,379089,177059,15.15988519549169,False
Other,BA MDS: Is different,Unknown,0.0010539329895822064,0.09524196529490203,281,0.27502645600576336,0.5653330242387901,0.29030656823060497,0.2188587683953025,379089,177059,90.3681412730588,False
Other,BA MDS: Meets needs,Unknown,-0.00512325174708185,0.08822910115498547,281,0.2763701138899065,0.5748176504665481,0.29844753657793593,0.19772769133801424,379089,177059,17.221308948021115,False
Other,BA MDS: Sets trends,Unknown,0.004437941411483987,0.09214275562129816,281,0.28871804617454444,0.5906485437725979,0.3019304975985765,0.21052964104491104,379089,177059,20.76249933873888,False
Other,BA: Has my favorite brands or stores,Unknown,-0.0019936155826149474,0.09984285313538953,281,0.2866495902755349,0.5985467725188612,0.3118971822437723,0.19116280162867616,379089,177059,50.08129651777178,False
Other,BA: Is a brand I trust,Unknown,-0.003441078492686121,0.08173206271082238,281,0.2920276847518285,0.606592449241993,0.31456476449288256,0.20428519789074734,379089,177059,23.751873979201786,False
Other,BA: Is an essential part of my life,Unknown,0.00874700369552918,0.09639744090126906,281,0.25105391808900446,0.5164498094124556,0.26539589132135233,0.19903950569743417,379089,177059,11.020624233935134,False
Other,BA: Makes my life easier,Unknown,0.0013965728953765123,0.08252015356727005,281,0.29717431431712277,0.6167275983779359,0.31955328406121,0.1825206672985765,379089,177059,59.08760927586443,False
Other,BA: Offers a wide selection of brands or stores across a variety of categories,Unknown,-0.00398670758654,0.09189380484673043,281,0.2993457032403418,0.6270794924725979,0.3277337892341637,0.21141927637935945,379089,177059,23.050048906768104,False
Other,Brand Familiarity,Unknown,-0.006051674287839751,0.08147542370988019,281,0.31716042936826006,0.6656498597935943,0.3484894304263345,0.1674824439818078,379089,177059,13.463286329470359,False
