CHANNEL,METRIC_CLEAN,LIFT_mean,LIFT_std,LIFT_count,LIFT_min,LIFT_max,DELTA_mean,DELTA_std,CONTROL__mean,EXPOSED__mean,CONTROL_N_sum,EXPOSED_N_sum,STATISTICAL_SIGNIFICANCE_mean,STATISTICAL_SIGNIFICANCE_min
Social,More than Restaurant Consideration,0.054348958333333336,0.25684980046499795,192,-1.0,2.352,0.028276041666666668,0.15482911319291004,0.6920677083333334,0.7203333333333334,49711,148512,0.5769690722138364,0.007196718
Digital,BA: Makes my life easier,0.053171875,0.3246492858239408,192,-1.0,2.517,0.030791666666666665,0.16263700091405284,0.5866822916666666,0.6174427083333334,16012,14533,0.5364897112307693,0.003608085
Any,BA: Offers a wide selection of brands or stores across a variety of categories,0.05269270833333334,0.17837511022155872,192,-1.0,1.059,0.047406250000000004,0.15959113847284126,0.7010260416666667,0.7484166666666666,15289,108034,0.6602685210294117,0.014094105
Digital,More than Restaurant Consideration: Baby Supplies,0.05213541666666666,0.5386247296284906,192,-1.0,3.117,0.001276041666666667,0.12896199305748776,0.21031770833333333,0.21159895833333334,16012,14533,0.3975781173684211,0.003077101
Tv,DashPass Benefits Awareness: Access to exclusive deals for DashPass members,0.05181770833333333,0.29701720136158516,192,-1.0,3.0,0.028182291666666665,0.16249624433504004,0.6300885416666667,0.6582864583333333,73537,88668,0.706783647825,0.009883221
Tv,BA: Has my favorite brands or stores,0.050916666666666666,0.2674343356961659,192,-1.0,3.0,0.033114583333333336,0.13308442148392238,0.7406822916666668,0.7737968749999999,73537,88668,0.7725588319074075,0.006570521
Digital,BA: Is an essential part of my life,0.04938541666666666,0.33239081173128976,192,-1.0,1.933,0.0219375,0.1459623642590949,0.3955208333333333,0.41746875,16012,14533,0.5421446055063291,0.030657984
Any,BA: Is a brand I trust,0.04920833333333333,0.21653501302875877,192,-0.336,1.99,0.03685416666666667,0.1401620960754557,0.6860104166666666,0.72290625,15289,108034,0.5615502160918368,0.00858691
Digital,Consideration (Top 2 Box),0.04917708333333334,0.35976926854929625,192,-1.0,2.517,0.019364583333333334,0.17112162294277397,0.575125,0.5945364583333334,16012,14533,0.6163104597974683,0.024541734
Digital,More than Restaurant Aided Awareness: Prepared Restaurant Food,0.047234375,0.3917324686309676,192,-1.0,3.0,0.019109375,0.17235897495264862,0.6322552083333334,0.6513749999999999,16012,14533,0.4606074444177215,0.009008631
Social,More than Restaurant Consideration: Baby Supplies,0.04655729166666667,0.4184490021270314,192,-1.0,3.745,0.005203124999999999,0.1442234500710362,0.3057708333333333,0.3109166666666667,49711,148512,0.544184581675,0.007179641
Social,First Choice Consideration,0.04529687500000001,0.45266218971839756,192,-1.0,4.982,-0.005687499999999999,0.08779853336322302,0.21567708333333332,0.21,49711,148512,0.49098418854716985,0.008184988
Digital,More than Restaurant Consideration: Personal Care & Beauty,0.044348958333333334,0.5321360670175426,192,-1.0,3.177,-0.006760416666666667,0.12021775572455394,0.24155729166666665,0.23480729166666667,16012,14533,0.49972049824675324,0.012632144
Digital,More than Restaurant Consideration: Pet Supplies,0.04350520833333333,0.5918520315060699,192,-1.0,3.873,-0.00953125,0.11185634514975797,0.22286979166666668,0.21333333333333335,16012,14533,0.3796791113116883,0.000770164
Social,Unaided Brand Awareness (First Mention),0.042796875000000005,0.4769903962401828,192,-1.0,4.58,-0.004005208333333334,0.09105970065116009,0.233296875,0.229265625,49711,148512,0.5888562599125,0.035635312
Digital,BA MDS: Meets needs,0.04217708333333334,0.36776057812503793,192,-1.0,2.333,0.017703125,0.17145997774769733,0.48942708333333335,0.5070781249999999,16012,14533,0.5799729743417721,0.017951586
Digital,More than Restaurant Consideration: Packaged Food & Non-Alcoholic Beverages,0.041046875000000003,0.505060322860946,192,-1.0,3.914,0.007296875,0.160323169671881,0.32176041666666666,0.3290416666666667,16012,14533,0.47826111569620255,0.000117439
Tv,Brand Familiarity,0.040067708333333334,0.2882430268228501,192,-1.0,3.0,0.018932291666666667,0.1489480411143054,0.816875,0.8358125,73537,88668,0.7512413616644738,0.021640516
