CAMPAIGN_COUNT,CONTROL_HITS,CONTROL_MISSES,CONTROL_PERCENT,CONTROL_POPULATION,CREATIVE_FORMAT_TYPES,DELTA,EXPOSED_HITS,EXPOSED_MISSES,EXPOSED_PERCENT,EXPOSED_POPULATION,LIFT,METRIC_ID,METRIC_NAME,SIGNIFICANCE_LEVEL,FILTER_ID
1,154.5252882,64.48840684,0.622677293,282,,0.025355833,313,119,0.648033126,483,0.040720665,955551,BA: Is an essential part of my life,0.51874439,22237599
1,158.6929414,60.32075369,0.639471327,282,,0.04582888,331,101,0.685300207,483,0.071666825,955556,BA MDS: Is different,0.806008789,22237599
1,199.9584283,19.0552668,0.805755318,282,,0.026542818,402,30,0.832298137,483,0.032941537,955558,DashPass Aided Awareness,0.646037326,22237599
1,152.5715348,47.38689345,0.614804421,282,,0.06014382,326,76,0.67494824,483,0.097825939,955561,DashPass Benefits: Makes members' lives better,0.908113239,22237599
1,149.5337804,50.42464787,0.602563442,282,,0.026836144,304,98,0.629399586,483,0.044536628,955563,DashPass Benefits: Saves subscription members more money than non-members who use the delivery service,0.539199878,22237599
1,141.402978,58.55545026,0.569799446,282,,0.036825813,293,109,0.606625259,483,0.06462943,955565,"DashPass Benefits: Provides more value than other non-delivery subscription services (e.g. TV streaming, audio streaming, fitness, fashion, etc)",0.682788984,22237599
1,160.6073818,39.35104644,0.647185784,282,,0.00498813,315,87,0.652173913,483,0.007707415,955566,DashPass Benefits Awareness: $0 delivery fees on eligible orders,0.111002711,22237599
1,150.7947965,49.1636318,0.60764485,282,,0.007261982,297,105,0.614906832,483,0.01195103,955567,DashPass Benefits Awareness: Reduced service fees on eligible orders,0.157635561,22237599
1,159.6907378,40.26769048,0.643492062,282,,-0.038937196,292,110,0.604554865,483,-0.06050921,955568,DashPass Benefits Awareness: Access to exclusive deals for DashPass members,0.715275317,22237599
1,121.6326657,78.32576257,0.490132715,282,,0.008832089,241,161,0.498964803,483,0.01801979,955569,DashPass Benefits Awareness: Max [HBO] subscription included at no extra cost,0.186338024,22237599
1,131.099942,68.85848624,0.528282186,282,,0.010020092,260,142,0.538302277,483,0.01896731,955570,DashPass Benefits Awareness: Ability to add someone in your household to your DashPass membership for free,0.211333057,22237599
1,125.0422027,74.91622555,0.503871833,282,,0.005444937,246,156,0.50931677,483,0.010806194,955571,DashPass Benefits Awareness: Discounted rides with Lyft,0.115542432,22237599
1,135.6079817,112.5547343,0.546447846,282,,-0.022638323,253,230,0.523809524,483,-0.041428149,955924,More than Restaurant Aided Awareness: Prepared Restaurant Food,0.455076292,22237599
1,106.7516227,141.4110934,0.430167853,282,,0.014966723,215,268,0.445134576,483,0.034792751,955925,More than Restaurant Aided Awareness: Fresh Food & Produce,0.312574175,22237599
1,96.29983789,151.8628781,0.388051193,282,,0.009464335,192,291,0.397515528,483,0.024389399,955936,More than Restaurant Aided Awareness: Alcoholic Beverages,0.203932302,22237599
1,112.4009657,135.7617503,0.452932525,282,,-0.024361097,207,276,0.428571429,483,-0.053785267,955937,More than Restaurant Aided Awareness: Packaged Food & Non-Alcoholic Beverages,0.487683931,22237599
1,101.9460644,146.2166517,0.410803307,282,,-0.040202893,179,304,0.370600414,483,-0.097864092,955938,More than Restaurant Aided Awareness: Personal Care & Beauty,0.729616392,22237599
1,102.6274192,145.5352968,0.413548904,282,,0.004670558,202,281,0.418219462,483,0.011293846,955939,More than Restaurant Aided Awareness: Household Essentials,0.100596842,22237599
1,104.2713416,143.8913744,0.420173277,282,,-0.07234719,168,315,0.347826087,483,-0.172184177,955940,More than Restaurant Aided Awareness: Flowers,0.953879037,22237599
1,88.61349177,159.5492243,0.357078183,282,,-0.02374485,161,322,0.333333333,483,-0.066497621,955941,More than Restaurant Aided Awareness: Baby Supplies,0.495765476,22237599
1,94.96751112,153.1952049,0.38268243,282,,-0.014152409,178,305,0.368530021,483,-0.036982124,955942,More than Restaurant Aided Awareness: Pet Supplies,0.303702608,22237599
1,105.0805227,143.0821933,0.423433965,282,,-0.061115124,175,308,0.362318841,483,-0.144332125,955943,More than Restaurant Aided Awareness: Health & Medicine,0.906239856,22237599
1,113.582423,134.580293,0.457693343,282,,0.0288491,235,248,0.486542443,483,0.063031505,955944,More than Restaurant Consideration: Prepared Restaurant Food,0.55915454,22237599
1,85.42913288,162.7335832,0.344246445,282,,0.032565149,182,301,0.376811594,483,0.094598359,955945,More than Restaurant Consideration: Fresh Food & Produce,0.633292233,22237599
1,82.40604532,165.7566707,0.332064569,282,,0.038535845,179,304,0.370600414,483,0.116049253,955946,More than Restaurant Consideration: Alcoholic Beverages,0.716996686,22237599
1,94.45460939,153.7081066,0.380615634,282,,0.031392648,199,284,0.412008282,483,0.082478609,955948,More than Restaurant Consideration: Packaged Food & Non-Alcoholic Beverages,0.607375147,22237599
1,81.40808594,166.7546301,0.328043178,282,,-0.000921024,158,325,0.327122153,483,-0.002807632,955949,More than Restaurant Consideration: Personal Care & Beauty,0.020892073,22237599
1,85.98120284,162.1815132,0.346471074,282,,0.003425406,169,314,0.34989648,483,0.009886557,955950,More than Restaurant Consideration: Household Essentials,0.076409611,22237599
1,74.28947282,173.8732432,0.299357913,282,,0.02776424,158,325,0.327122153,483,0.09274597,955951,More than Restaurant Consideration: Flowers,0.574105963,22237599
