CAMPAIGN_COUNT,CONTROL_HITS,CONTROL_MISSES,CONTROL_PERCENT,CONTROL_POPULATION,CREATIVE_FORMAT_TYPES,DELTA,EXPOSED_HITS,EXPOSED_MISSES,EXPOSED_PERCENT,EXPOSED_POPULATION,LIFT,METRIC_ID,METRIC_NAME,SIGNIFICANCE_LEVEL,FILTER_ID,FILTER_NAME,GROUP_NAME
1,0,0,0,0,,0.5352112676,38,33,0.5352112676,71,0,955948,More than Restaurant Consideration: Packaged Food & Non-Alcoholic Beverages,0,24968935,"Creative:  Format - Static, Video, Animation ",Creative
1,0,0,0,0,,0.3802816901,27,44,0.3802816901,71,0,955949,More than Restaurant Consideration: Personal Care & Beauty,0,24968935,"Creative:  Format - Static, Video, Animation ",Creative
1,0,0,0,0,,0.338028169,24,47,0.338028169,71,0,955951,More than Restaurant Consideration: Flowers,0,24968935,"Creative:  Format - Static, Video, Animation ",Creative
1,0,0,0,0,,0.3943661972,28,43,0.3943661972,71,0,955953,More than Restaurant Consideration: Pet Supplies,0,24968935,"Creative:  Format - Static, Video, Animation ",Creative
1,0,0,0,0,,0.7464788732,53,11,0.7464788732,71,0,964357,DashPass Benefits Awareness: $0 delivery fees + 1 Other Benefit,0,24968935,"Creative:  Format - Static, Video, Animation ",Creative
1,0,0,0,0,,0.1126760563,8,62,0.1126760563,71,0,964359,DashPass Benefit Awareness: $0 Delivery + 1 Other Benefit (DP aware non-users),0,24968935,"Creative:  Format - Static, Video, Animation ",Creative
1,0,0,0,0,,0.7887323944,56,14,0.7887323944,71,0,964361,DashPass Aided Awareness (DD users),0,24968935,"Creative:  Format - Static, Video, Animation ",Creative
1,0,0,0,0,,0.1830985915,13,26,0.1830985915,71,0,964363,Unaided Brand Awareness (Any Mention) - Instacart,0,24968935,"Creative:  Format - Static, Video, Animation ",Creative
1,0,0,0,0,,0.1408450704,10,27,0.1408450704,71,0,964365,Unaided Brand Awareness (Any Mention) - GrubHub,0,24968935,"Creative:  Format - Static, Video, Animation ",Creative
1,0,0,0,0,,0.3661971831,26,45,0.3661971831,71,0,1009176,DashPass Actions – Talked to others,0,24968935,"Creative:  Format - Static, Video, Animation ",Creative
